"","DNUM_IC","ASUNTO","MESES_CONSUMO","IMPORTE_ACUMULADO","IMPORTE_ULTIMO_MES","ULTIMO_MES","TIPO_AMPARO"
"333",1002970344,139870,6,1611210.09,470393,202501,"MAC"
"334",2000234536,111071,5,1594026.65,29915.7,202408,"MAC"
"335",1002000665,111423,6,1447434.34,1.98,202402,"MAC"
"336",2001095608,134476,11,1439066.81,17692.47,202510,"MAC"
"337",2002728732,138184,11,1394902.2,419655.62,202509,"MAC"
"338",1000647127,137416,3,1393512.41,126618.49,202503,"MAC"
"339",2001110389,130038,4,1388703.35,349661.21,202411,"MAC"
"340",2002498812,122963,10,1358666.94,134004.46,202509,"MAC"
"341",2001355854,138651,22,1322752.96,37800,202510,"MAC"
"342",1000616480,138920,2,1302319.41,498446.23,202502,"MAC"
"343",1002794957,112554,8,1298057.81,338842.98,202509,"MAC"
"344",1002776572,141625,8,1270903.9,125631.4,202507,"MAC"
"345",1002264608,139328,4,1252795.41,1205.79,202506,"MAC"
"346",2002015351,126842,11,1073872.01,144967.63,202508,"MAC"
"347",1002812342,141521,5,1073524.05,74044,202505,"MAC"
"348",1002821081,137656,2,1072157.78,536078.89,202508,"MAC"
"349",2000026338,109116,2,1038182,946445.02,202509,"MAC"
"350",1002593819,118394,4,1012528.41,25730.56,202510,"MAC"
"351",1002898046,113218,2,992516.77,136131.77,202408,"MAC"
"352",2000458661,138743,3,984021.38,856385,202412,"MAC"
"353",1500334024,118311,4,983582.5,322.82,202509,"MAC"
"354",1002145590,94382,2,957751.9,394718.9,202401,"MAC"
"355",2000003297,125425,8,955493.25,257264.98,202508,"MAC"
"356",2000481938,131626,2,941976.57,856385,202408,"MAC"
"357",1500001119,138985,3,939948.22,469061.4,202509,"MAC"
"358",1000566765,135441,2,934549.49,856385,202502,"MAC"
"359",1500242369,110545,2,897997,470393,202505,"MAC"
"360",1502848747,129568,2,888054.61,31669.61,202409,"MAC"
"361",2000353080,108403,2,877933.17,856385,202507,"MAC"
"362",2000870218,124956,1,856385,856385,202402,"MAC"
"363",1000620648,141495,1,856385,856385,202504,"MAC"
"364",1000549604,138157,3,804568.77,268024.18,202509,"MAC"
"365",1500499744,134407,3,752051.87,658274,202409,"MAC"
"366",1002759217,133098,2,728979.73,658274,202410,"MAC"
"367",1000240915,112888,4,716250.83,125631.4,202509,"MAC"
"368",2001857178,138145,3,603065.85,201021.95,202509,"MAC"
"369",2002086318,136652,3,602353.3,7848.9,202510,"MAC"
"370",2000514669,111908,5,582902.17,160330.31,202509,"MAC"
"371",2000071150,113554,2,548557.49,78164.49,202411,"MAC"
"372",2003829846,131457,4,520942.65,173770.3,202509,"MAC"
"373",1002901137,136547,7,513789.23,80221.79,202505,"MAC"
"374",1500220322,133177,2,496389.09,25996.09,202306,"MAC"
"375",1000675528,132126,6,479572.36,41604.49,202505,"MAC"
"376",1002582933,120608,1,470393,470393,202309,"MAC"
"377",1002949487,118141,2,428929.55,1325.55,202507,"MAC"
"378",2000099763,127605,2,404935.74,299734.8,202410,"MAC"
"379",2001812020,141275,1,402560.44,402560.44,202409,"MAC"
"380",2000312197,111040,5,396607.46,31063.82,202509,"MAC"
"381",1000039675,115395,3,381520.22,235041.46,202410,"MAC"
"382",1003526362,120675,6,380701.71,5023.79,202502,"MAC"
"383",2000553905,134714,3,374952.71,125631.4,202506,"MAC"
"384",2000187413,121925,6,349495.17,77423.86,202506,"MAC"
"385",1002796601,117843,1,346203.94,346203.94,202409,"MAC"
"386",2001076086,136768,4,338063.71,269.66,202409,"MAC"
"387",2001388026,95369,2,333126,222084,202509,"MAC"
"388",2000521376,119698,4,325262.7,80174.91,202408,"MAC"
"389",2000236080,141158,9,319165.74,232472.06,202506,"MAC"
"390",1500384192,124678,3,277323.28,51587.4,202509,"MAC"
"391",2001127008,123363,4,275767.71,78164.49,202409,"MAC"
"392",2000899390,90491,5,244586.26,70705.73,202507,"MAC"
"393",1500293538,130341,2,213952.04,78164.49,202410,"MAC"
"394",1003485868,127268,7,213217.7,39260.58,202505,"MAC"
"395",2000921275,111173,2,207894.73,95285.08,202309,"MAC"
"396",1502438362,140780,3,201695.44,22383.65,202505,"MAC"
"397",2003073992,127349,2,190286.62,95956.44,202408,"MAC"
"398",1000676624,111495,5,188673.18,11275.48,202405,"MAC"
"399",2003617388,135252,3,179084.01,64361,202409,"MAC"
"400",2000127869,125127,4,176216.14,44000,202510,"MAC"
"401",1002309971,138401,1,174491,174491,202408,"MAC"
"402",1002958159,116315,4,171306.82,38088.62,202506,"MAC"
"403",2001137535,121736,3,166596.74,51587.4,202502,"MAC"
"404",2001212609,128649,2,164583.32,82291.66,202506,"MAC"
"405",2001244202,112057,4,164247.04,2402.68,202508,"MAC"
"406",2000044773,106890,3,162509.39,6009.75,202507,"MAC"
"407",2001177369,139980,6,160529.53,77423.86,202411,"MAC"
"408",2001393704,88837,4,155152.25,4425.84,202509,"MAC"
"409",2001393704,88841,4,155152.25,4425.84,202509,"MAC"
